X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
0.032622866,0.543020734,8.889062314,0.452664371,0.827032533,17.23848,0.237656021,0.369202446,0.762343979,0.232239588,-0.1042727,7.683747061,-0.077259872,-0.013570553,0.041216801,0.030539199,0.088163143,0.136962858,0.065323648,0.052426979,0.220600255,0.128151802,1.349635939,0
0.113859097,-0.466673695,1.197997671,0.849660784,5.651624406,7.435276541,0.287728663,2.692752354,0.712271337,1.625650174,0.097947994,0.506527599,0.429917297,0.193371484,0.073695211,0.323466004,0.114023068,1.06710218,0.500474662,0.06777826,0.235563113,0.158291393,0.227829851,0
0.258459143,3.976959569,-0.287733517,0.709389023,2.441026252,11.30196658,0.379592912,0.327661521,0.620407088,0.268239739,0.004831742,0.045745157,0.002352875,0.105623026,0.073775664,0.035925943,0.068839598,0.059421782,0.033522267,0.062327498,0.164195632,0.124727299,2.053548417,0
0.051155367,23.62860524,0.043708108,0.447944723,0.811412808,2.661436489,0.714814503,0.178355563,0.285185497,0.152303852,-0.032488826,-0.13464726,-0.002623192,0.241288427,0.519669911,0.041958862,0.104410206,0.026051711,0.008430223,0.057345267,0.080223984,0.838802022,12.38522419,0
-0.186969333,-0.740182604,-0.434894082,1.269979767,-4.703981273,8.030264143,0.207153305,7.610978824,0.792846695,5.38248078,-0.188500796,-8.849802817,-1.586875629,0.0213,0.042054165,0.354028898,0.060654582,2.228498044,0.5106147,0.020214828,0.097583901,0.098055818,0.118787378,1
0.274190791,-0.59903646,0.370686025,0.803635879,4.09258002,81.56762381,0.512605462,4.1259583,0.487394538,3.609705434,0.177170786,0.473363576,0.446564425,0.374280563,0.320309657,0.807350361,0.064138806,0.516252866,0.161663837,0.076988501,0.150190558,0.015255374,0.396741827,0
0.166281406,9.287532837,-0.19762058,0.602035697,1.512788189,5.612819167,0.558457069,0.058119298,0.441542931,0.037194794,0.058098738,0.321377279,0.003390119,0.180780477,0.234315777,0.013672559,0.201059502,0.020924504,0.011732022,0.094815581,0.169781324,0.295935255,17.1376683,1
0.25357766,-0.53674187,0.11331113,0.294096027,0.416623277,4.766778231,0.67044001,6.021986985,0.32955999,4.071593336,0.152367208,0.739726037,0.378704361,0.20597789,0.273928188,0.680840716,0.217141276,1.950393649,0.539698462,0.143507443,0.21404964,0.713322455,0.402338141,0
0.155063268,0.198779731,-0.424386417,0.62201158,1.645583694,6.158412348,0.454269156,0.522282209,0.545730844,0.268617053,0.006670969,0.092559882,0.008409546,0.072071927,0.100522016,0.126719897,0.220632168,0.253665156,0.278132956,0.09426158,0.207501606,0.261055451,0.793261507,1
0.146081234,0.837768905,0.173161376,0.732107927,2.732846548,11.240897,0.699503981,1.265473738,0.300496019,0.991332391,0.15375595,0.587644722,0.077706098,0.261647803,0.41474393,0.209605759,0.151534526,0.274141346,0.076583422,0.062335488,0.089113843,0.12151333,1.978685758,0
